time,sm_value_first,sm_value_last,sm_value_avg,sm_value_max,rain_accumulated_3H,rain_average_3H,rain_accumulated_6H,rain_average_6H,rain_accumulated_12H,rain_average_12H,rain_accumulated_24H,rain_average_24H,rain_peak_3H,rain_peak_6H,rain_peak_12H,rain_peak_24H,event_n,event_threshold,event_index,event_domain
2019-12-30,0.573,0.569,0.571,0.573,0.015,0.005,0.022,0.004,0.035,0.003,0.035,0.002,0.400,0.400,0.400,0.400,0,white,0,alert_area_a
2019-12-29,0.573,0.573,0.573,0.573,0.013,0.004,0.013,0.002,0.019,0.002,0.026,0.001,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-12-02,0.816,0.816,0.816,0.816,3.222,1.074,5.115,1.023,6.060,0.551,6.605,0.287,7.000,11.400,21.800,29.800,2,green,1,alert_area_a
2019-12-01,0.620,0.816,0.718,0.816,15.252,5.084,18.903,3.151,35.178,2.931,45.569,1.981,26.000,38.200,60.200,88.200,0,white,0,alert_area_a
2019-11-30,0.653,0.620,0.636,0.653,0.014,0.005,0.014,0.003,0.014,0.001,0.014,0.001,0.200,0.200,0.200,0.200,1,green,1,alert_area_a
2019-11-29,0.709,0.653,0.681,0.709,0.027,0.009,0.033,0.007,0.066,0.006,0.067,0.003,0.200,0.200,0.400,0.400,0,white,0,alert_area_a
2019-11-28,0.811,0.709,0.760,0.811,0.027,0.014,0.027,0.005,0.034,0.003,0.048,0.002,0.200,0.200,0.200,0.400,0,white,0,alert_area_a
2019-11-27,0.691,0.811,0.751,0.811,31.430,10.477,45.239,7.540,48.309,4.392,48.532,2.110,56.400,72.000,87.400,87.400,0,white,0,alert_area_a
2019-11-26,0.775,0.691,0.733,0.775,0.020,0.007,0.020,0.004,0.040,0.004,0.052,0.002,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-11-25,0.916,0.775,0.845,0.916,0.587,0.238,0.948,0.190,1.535,0.140,1.550,0.067,6.600,10.400,10.800,10.800,1,green,1,alert_area_a
2019-11-24,0.994,0.916,0.955,0.994,16.785,5.595,25.867,4.861,50.172,4.561,55.688,2.421,47.400,81.400,96.000,96.400,7,orange,3,alert_area_a
2019-11-23,0.747,0.994,0.871,0.994,31.317,10.439,54.744,9.124,88.336,7.361,128.314,5.579,73.000,110.200,170.400,270.400,12,orange,3,alert_area_a
2019-11-22,0.654,0.747,0.701,0.747,8.210,2.737,14.103,2.351,16.353,1.363,23.163,1.007,15.200,26.400,32.000,42.600,0,white,0,alert_area_a
2019-11-21,0.688,0.654,0.671,0.688,1.857,0.619,1.919,0.320,2.686,0.224,3.387,0.147,8.600,8.600,8.600,10.800,0,white,0,alert_area_a
2019-11-20,0.707,0.688,0.698,0.707,3.856,1.285,4.288,0.715,6.834,0.569,7.515,0.327,13.800,15.200,17.800,17.800,0,white,0,alert_area_a
2019-11-19,0.692,0.707,0.699,0.707,6.064,3.032,8.174,1.635,11.437,1.040,14.835,0.645,26.000,41.400,49.000,58.400,1,green,1,alert_area_a
2019-11-18,0.652,0.692,0.672,0.692,7.457,2.486,11.241,1.874,14.502,1.209,14.574,0.634,27.200,42.800,58.800,58.800,0,white,0,alert_area_a
2019-11-17,0.701,0.652,0.676,0.701,0.695,0.232,1.053,0.203,2.069,0.188,2.944,0.128,8.200,11.000,15.800,23.200,0,white,0,alert_area_a
2019-11-16,0.777,0.701,0.739,0.777,1.573,0.524,1.795,0.359,3.298,0.300,4.609,0.200,9.400,11.000,14.600,21.800,0,white,0,alert_area_a
2019-11-15,0.746,0.777,0.762,0.777,11.902,5.951,12.677,2.535,12.912,1.174,20.778,0.903,27.000,27.200,27.200,38.600,5,yellow,2,alert_area_a
2019-11-14,0.582,0.746,0.664,0.746,16.049,5.350,30.659,5.110,31.162,2.597,31.351,1.363,32.200,58.400,69.600,69.600,2,green,1,alert_area_a
2019-11-13,0.598,0.582,0.590,0.598,0.015,0.005,0.015,0.002,0.020,0.002,0.020,0.001,0.200,0.400,0.400,0.400,0,white,0,alert_area_a
2019-11-12,0.625,0.598,0.611,0.625,0.046,0.015,0.071,0.014,0.126,0.011,0.126,0.005,1.800,3.000,4.600,4.600,0,white,0,alert_area_a
2019-11-11,0.594,0.625,0.609,0.625,4.182,1.394,6.173,1.029,7.211,0.601,9.671,0.420,21.400,31.800,32.000,48.600,0,white,0,alert_area_a
2019-11-10,0.613,0.594,0.603,0.613,0.631,0.210,1.014,0.169,1.296,0.108,1.492,0.065,3.400,4.400,6.200,6.200,0,white,0,alert_area_a
2019-11-09,0.645,0.613,0.629,0.645,0.616,0.205,0.640,0.107,1.277,0.106,1.453,0.063,11.200,11.400,14.400,18.200,1,green,1,alert_area_a
2019-11-08,0.662,0.645,0.653,0.662,3.339,1.113,3.392,0.678,5.816,0.529,6.740,0.293,13.600,13.600,13.600,13.800,0,white,0,alert_area_a
2019-11-07,0.604,0.662,0.633,0.662,10.948,3.649,12.493,2.082,14.287,1.191,14.361,0.624,18.800,19.000,30.200,30.200,0,white,0,alert_area_a
2019-11-06,0.632,0.604,0.618,0.632,1.597,0.532,1.901,0.317,2.171,0.181,2.235,0.097,17.200,17.200,17.400,17.400,0,white,0,alert_area_a
2019-11-05,0.681,0.632,0.656,0.681,2.036,0.679,2.042,0.408,2.388,0.217,2.398,0.104,6.400,6.600,6.600,6.600,0,white,0,alert_area_a
2019-11-04,0.778,0.681,0.730,0.778,0.034,0.012,0.057,0.011,0.102,0.009,0.117,0.005,0.200,0.200,0.400,0.400,0,white,0,alert_area_a
2019-11-03,0.554,0.778,0.666,0.778,30.326,10.109,37.011,7.402,56.976,5.180,57.915,2.518,57.400,79.200,101.200,101.200,0,white,0,alert_area_a
2019-11-02,0.552,0.554,0.553,0.554,0.985,0.328,1.008,0.168,1.578,0.143,2.253,0.098,5.400,5.800,6.000,7.400,0,white,0,alert_area_a
2019-11-01,0.555,0.552,0.553,0.555,0.748,0.249,1.314,0.219,1.623,0.135,1.682,0.073,2.800,3.800,5.600,6.000,0,white,0,alert_area_a
2019-10-31,0.558,0.555,0.557,0.558,1.520,0.507,1.996,0.333,2.307,0.192,2.323,0.101,15.400,25.000,25.200,25.200,0,white,0,alert_area_a
2019-10-30,0.566,0.558,0.562,0.566,0.045,0.015,0.051,0.009,0.076,0.006,0.082,0.004,1.000,1.200,1.200,1.200,0,white,0,alert_area_a
2019-10-29,0.577,0.566,0.572,0.577,0.033,0.011,0.042,0.007,0.043,0.004,0.053,0.002,0.400,0.400,0.400,0.400,0,white,0,alert_area_a
2019-10-28,0.594,0.577,0.586,0.594,0.017,0.006,0.017,0.003,0.024,0.002,0.024,0.001,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-10-27,0.625,0.594,0.610,0.625,0.014,0.005,0.014,0.002,0.020,0.002,0.034,0.001,0.200,0.200,0.200,0.400,0,white,0,alert_area_a
2019-10-26,0.676,0.625,0.651,0.676,0.008,0.003,0.008,0.001,0.013,0.001,0.013,0.001,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-10-25,0.767,0.676,0.722,0.767,0.027,0.013,0.053,0.011,0.071,0.006,0.075,0.003,1.000,1.000,1.200,1.200,0,white,0,alert_area_a
2019-10-24,0.655,0.767,0.711,0.767,18.146,9.073,22.668,4.534,23.374,2.125,32.395,1.408,42.200,42.800,44.600,50.800,0,white,0,alert_area_a
2019-10-23,0.680,0.655,0.668,0.680,3.757,1.252,7.030,1.172,7.721,0.643,8.100,0.352,13.800,25.200,27.600,28.600,0,white,0,alert_area_a
2019-10-22,0.755,0.680,0.718,0.755,1.929,0.964,3.095,0.619,3.109,0.283,3.109,0.135,38.000,38.400,38.400,38.400,0,white,0,alert_area_a
2019-10-21,0.773,0.755,0.764,0.773,11.968,3.989,19.253,3.851,21.362,1.942,21.534,0.936,42.800,43.000,43.000,43.000,1,green,1,alert_area_a
2019-10-20,0.742,0.773,0.758,0.773,6.238,2.079,12.229,2.038,16.238,1.476,25.922,1.127,103.800,151.400,224.200,237.200,2,green,1,alert_area_a
2019-10-19,0.442,0.742,0.592,0.742,33.376,11.125,40.485,6.747,42.636,3.553,64.346,2.798,113.600,117.400,120.000,187.400,0,white,0,alert_area_a
2019-10-18,0.427,0.442,0.435,0.442,2.781,0.927,3.017,0.503,4.071,0.339,4.103,0.178,10.800,10.800,14.200,14.200,0,white,0,alert_area_a
2019-10-17,0.431,0.427,0.429,0.431,0.034,0.011,0.064,0.011,0.092,0.008,0.148,0.006,0.200,0.200,0.400,0.400,0,white,0,alert_area_a
2019-10-16,0.439,0.431,0.435,0.439,0.021,0.010,0.028,0.006,0.035,0.003,0.052,0.002,0.200,0.400,0.400,0.400,0,white,0,alert_area_a
2019-10-15,0.281,0.439,0.360,0.439,16.960,5.653,21.261,3.544,22.009,2.001,28.756,1.250,75.200,89.800,92.000,92.000,0,white,0,alert_area_a
2019-10-14,0.276,0.281,0.278,0.281,1.115,0.372,1.528,0.255,1.528,0.127,1.543,0.067,26.600,26.600,26.600,26.600,0,white,0,alert_area_a
2019-10-13,0.277,0.276,0.277,0.277,0.070,0.023,0.071,0.012,0.105,0.009,0.113,0.005,1.400,1.600,1.600,1.600,0,white,0,alert_area_a
2019-10-12,0.278,0.277,0.278,0.278,0.014,0.007,0.022,0.004,0.029,0.003,0.034,0.001,0.200,0.400,0.400,0.400,0,white,0,alert_area_a
2019-10-11,0.281,0.278,0.280,0.281,0.027,0.009,0.027,0.005,0.041,0.004,0.041,0.002,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-10-10,0.282,0.281,0.282,0.282,0.016,0.005,0.023,0.004,0.042,0.004,0.042,0.002,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-10-09,0.283,0.282,0.283,0.283,0.008,0.003,0.008,0.001,0.015,0.001,0.019,0.001,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-10-08,0.285,0.283,0.284,0.285,0.025,0.008,0.050,0.008,0.050,0.004,0.050,0.002,0.600,0.800,0.800,0.800,0,white,0,alert_area_a
2019-10-07,0.284,0.285,0.285,0.285,1.887,0.629,2.269,0.454,2.269,0.206,2.269,0.099,10.400,12.600,12.600,12.600,0,white,0,alert_area_a
2019-10-06,0.285,0.284,0.285,0.285,0.025,0.008,0.025,0.005,0.025,0.002,0.033,0.001,1.000,1.000,1.000,1.200,0,white,0,alert_area_a
2019-10-05,0.286,0.285,0.286,0.286,0.014,0.005,0.014,0.002,0.014,0.001,0.014,0.001,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-10-04,0.287,0.286,0.286,0.287,0.018,0.006,0.018,0.003,0.018,0.002,0.026,0.001,0.400,0.400,0.400,0.400,0,white,0,alert_area_a
2019-10-03,0.287,0.287,0.287,0.287,0.013,0.006,0.026,0.005,0.026,0.002,0.026,0.001,0.200,0.200,0.200,0.200,1,green,1,alert_area_a
2019-10-02,0.284,0.287,0.286,0.287,1.565,0.782,1.578,0.316,1.598,0.145,1.612,0.070,10.000,10.000,10.000,10.000,1,green,1,alert_area_a
2019-10-01,0.285,0.284,0.284,0.285,0.081,0.027,0.106,0.018,0.169,0.014,0.296,0.013,12.000,12.000,12.000,12.000,0,white,0,alert_area_a
2019-09-30,0.295,0.285,0.290,0.295,0.027,0.009,0.027,0.005,0.040,0.004,0.046,0.002,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-09-29,0.301,0.295,0.298,0.301,0.010,0.003,0.012,0.002,0.012,0.001,0.021,0.001,0.200,0.200,0.200,0.400,0,white,0,alert_area_a
2019-09-28,0.308,0.301,0.304,0.308,0.016,0.005,0.021,0.003,0.026,0.002,0.036,0.002,0.200,0.200,0.200,0.400,0,white,0,alert_area_a
2019-09-27,0.312,0.308,0.310,0.312,0.118,0.039,0.138,0.023,0.181,0.015,0.313,0.014,3.000,3.000,4.000,4.000,0,white,0,alert_area_a
2019-09-26,0.317,0.312,0.314,0.317,0.020,0.007,0.020,0.003,0.033,0.003,0.033,0.001,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-09-25,0.320,0.317,0.318,0.320,0.022,0.007,0.022,0.004,0.033,0.003,0.033,0.001,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-09-24,0.321,0.320,0.321,0.321,0.020,0.010,0.032,0.006,0.053,0.005,0.058,0.003,0.200,0.400,0.400,0.600,0,white,0,alert_area_a
2019-09-23,0.303,0.321,0.312,0.321,2.039,1.019,2.763,0.553,2.966,0.270,2.973,0.129,6.200,8.200,8.400,8.400,0,white,0,alert_area_a
2019-09-22,0.175,0.303,0.239,0.303,6.759,2.253,7.110,1.185,8.220,0.747,15.347,0.667,19.800,20.600,22.000,31.200,1,green,1,alert_area_a
2019-09-21,0.161,0.175,0.168,0.175,6.565,2.188,7.568,1.261,7.682,0.640,7.682,0.334,25.800,28.000,29.000,29.000,0,white,0,alert_area_a
2019-09-20,0.166,0.161,0.163,0.166,0.023,0.008,0.030,0.006,0.030,0.003,0.030,0.001,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-09-19,0.162,0.166,0.164,0.166,2.483,0.828,2.483,0.414,2.483,0.207,3.606,0.157,34.000,34.000,34.000,37.200,0,white,0,alert_area_a
2019-09-18,0.164,0.162,0.163,0.164,0.034,0.011,0.041,0.008,0.041,0.004,0.058,0.003,0.200,0.400,0.400,0.600,0,white,0,alert_area_a
2019-09-17,0.170,0.164,0.167,0.170,0.026,0.009,0.026,0.004,0.026,0.002,0.043,0.002,0.600,0.600,0.600,0.600,0,white,0,alert_area_a
2019-09-16,0.180,0.170,0.175,0.180,0.006,0.002,0.006,0.001,0.007,0.001,0.007,0.000,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-09-15,0.190,0.180,0.185,0.190,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,white,0,alert_area_a
2019-09-14,0.200,0.190,0.195,0.200,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0,white,0,alert_area_a
2019-09-13,0.208,0.200,0.204,0.208,0.007,0.002,0.007,0.001,0.008,0.001,0.008,0.000,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-09-12,0.214,0.208,0.211,0.214,0.012,0.004,0.017,0.003,0.017,0.002,0.017,0.001,0.400,0.400,0.400,0.400,0,white,0,alert_area_a
2019-09-11,0.216,0.214,0.215,0.216,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-09-10,0.146,0.216,0.181,0.216,6.046,2.015,6.692,1.115,6.705,0.610,11.874,0.516,9.600,16.000,16.000,21.600,0,white,0,alert_area_a
2019-09-09,0.146,0.146,0.146,0.146,0.020,0.007,0.033,0.007,0.046,0.004,0.063,0.003,0.400,0.400,0.400,0.400,0,white,0,alert_area_a
2019-09-08,0.089,0.146,0.118,0.146,6.138,2.046,8.891,1.482,11.557,0.963,11.610,0.505,29.400,50.400,53.800,53.800,0,white,0,alert_area_a
2019-09-07,0.087,0.089,0.088,0.089,0.925,0.308,1.263,0.211,1.430,0.119,1.430,0.062,11.800,11.800,11.800,11.800,0,white,0,alert_area_a
2019-09-06,0.089,0.087,0.088,0.089,0.728,0.243,1.182,0.197,1.189,0.099,1.407,0.061,6.600,10.000,10.000,11.400,0,white,0,alert_area_a
2019-09-05,0.090,0.089,0.089,0.090,0.684,0.228,0.684,0.114,0.684,0.057,0.684,0.030,6.200,6.200,6.200,6.200,0,white,0,alert_area_a
2019-09-04,0.092,0.090,0.091,0.092,0.011,0.004,0.017,0.003,0.018,0.002,0.018,0.001,0.200,0.400,0.400,0.400,0,white,0,alert_area_a
2019-09-03,0.093,0.092,0.093,0.093,0.007,0.002,0.014,0.002,0.021,0.002,0.021,0.001,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-09-02,0.093,0.093,0.093,0.093,0.446,0.149,0.461,0.077,0.572,0.048,0.592,0.026,5.400,5.400,5.600,5.600,0,white,0,alert_area_a
2019-09-01,0.078,0.093,0.086,0.093,4.084,1.361,4.155,0.692,4.177,0.348,4.214,0.183,21.400,21.400,21.400,25.800,0,white,0,alert_area_a
2019-08-31,0.068,0.078,0.073,0.078,4.305,1.435,4.307,0.718,4.325,0.360,5.461,0.237,38.200,38.200,38.200,59.000,0,white,0,alert_area_a
2019-08-30,0.072,0.068,0.070,0.072,0.160,0.053,0.175,0.029,0.175,0.015,0.188,0.008,2.800,2.800,2.800,2.800,0,white,0,alert_area_a
2019-08-29,0.076,0.072,0.074,0.076,0.186,0.062,0.192,0.032,0.192,0.016,0.193,0.008,2.800,2.800,2.800,2.800,0,white,0,alert_area_a
2019-08-28,0.083,0.076,0.079,0.083,0.071,0.024,0.071,0.012,0.116,0.011,0.127,0.006,1.800,1.800,1.800,1.800,0,white,0,alert_area_a
2019-08-27,0.088,0.083,0.085,0.088,0.013,0.004,0.013,0.003,0.013,0.001,0.013,0.001,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-08-26,0.094,0.088,0.091,0.094,0.041,0.014,0.041,0.007,0.041,0.003,0.048,0.002,0.600,0.600,0.600,0.600,0,white,0,alert_area_a
2019-08-25,0.100,0.094,0.097,0.100,0.006,0.002,0.006,0.001,0.006,0.001,0.007,0.000,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-08-24,0.107,0.100,0.104,0.107,0.043,0.014,0.043,0.007,0.043,0.004,0.050,0.002,1.000,1.000,1.000,1.200,0,white,0,alert_area_a
2019-08-23,0.113,0.107,0.110,0.113,0.276,0.092,0.327,0.054,0.467,0.039,0.597,0.026,3.200,3.600,3.600,3.800,0,white,0,alert_area_a
2019-08-22,0.124,0.113,0.118,0.124,0.007,0.002,0.015,0.002,0.015,0.001,0.022,0.001,0.400,0.400,0.400,0.400,0,white,0,alert_area_a
2019-08-21,0.131,0.124,0.128,0.131,0.007,0.002,0.007,0.001,0.008,0.001,0.008,0.000,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-08-20,0.137,0.131,0.134,0.137,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,white,0,alert_area_a
2019-08-19,0.141,0.137,0.139,0.141,0.088,0.029,0.097,0.016,0.097,0.008,0.106,0.005,2.800,2.800,2.800,2.800,0,white,0,alert_area_a
2019-08-18,0.145,0.141,0.143,0.145,0.007,0.003,0.012,0.002,0.018,0.002,0.029,0.001,0.200,0.400,0.400,0.400,0,white,0,alert_area_a
2019-08-17,0.150,0.145,0.147,0.150,0.011,0.004,0.011,0.002,0.011,0.001,0.011,0.000,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-08-16,0.157,0.150,0.153,0.157,0.014,0.005,0.014,0.003,0.022,0.002,0.022,0.001,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-08-15,0.163,0.157,0.160,0.163,0.006,0.002,0.006,0.001,0.006,0.001,0.006,0.000,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-08-14,0.171,0.163,0.167,0.171,0.031,0.010,0.031,0.005,0.035,0.003,0.066,0.003,0.400,0.400,0.400,0.400,0,white,0,alert_area_a
2019-08-13,0.176,0.171,0.174,0.176,0.076,0.025,0.076,0.013,0.076,0.006,0.107,0.005,2.200,2.200,2.200,2.400,0,white,0,alert_area_a
2019-08-12,0.176,0.176,0.176,0.176,0.929,0.310,0.950,0.158,1.684,0.140,3.145,0.137,11.800,11.800,12.000,13.600,0,white,0,alert_area_a
2019-08-11,0.184,0.176,0.180,0.184,0.023,0.012,0.030,0.006,0.035,0.003,0.035,0.002,0.400,0.400,0.400,0.400,0,white,0,alert_area_a
2019-08-10,0.194,0.184,0.189,0.194,0.012,0.005,0.022,0.004,0.026,0.002,0.040,0.002,0.200,0.200,0.400,0.600,0,white,0,alert_area_a
2019-08-09,0.203,0.194,0.198,0.203,0.011,0.005,0.022,0.004,0.022,0.002,0.030,0.001,0.200,0.400,0.400,0.400,0,white,0,alert_area_a
2019-08-08,0.214,0.203,0.208,0.214,0.006,0.002,0.010,0.002,0.010,0.001,0.010,0.000,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-08-07,0.225,0.214,0.219,0.225,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0,white,0,alert_area_a
2019-08-06,0.235,0.225,0.230,0.235,0.016,0.005,0.016,0.003,0.025,0.002,0.025,0.001,0.400,0.400,0.400,0.400,0,white,0,alert_area_a
2019-08-05,0.246,0.235,0.241,0.246,0.014,0.005,0.014,0.003,0.014,0.001,0.018,0.001,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-08-04,0.258,0.246,0.252,0.258,0.007,0.002,0.007,0.001,0.007,0.001,0.007,0.000,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-08-03,0.267,0.258,0.263,0.267,0.021,0.007,0.034,0.007,0.040,0.004,0.040,0.002,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-08-02,0.267,0.267,0.267,0.267,2.601,0.867,4.082,0.680,5.220,0.435,5.227,0.227,17.000,17.800,18.000,18.000,0,white,0,alert_area_a
2019-08-01,0.280,0.267,0.274,0.280,0.018,0.006,0.018,0.004,0.022,0.002,0.022,0.001,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-07-31,0.291,0.280,0.285,0.291,0.034,0.011,0.055,0.011,0.056,0.005,0.074,0.003,0.800,1.400,1.400,1.400,0,white,0,alert_area_a
2019-07-30,0.300,0.291,0.295,0.300,0.061,0.020,0.069,0.012,0.069,0.006,0.081,0.004,1.000,1.400,1.400,1.400,0,white,0,alert_area_a
2019-07-29,0.312,0.300,0.306,0.312,0.020,0.007,0.020,0.004,0.028,0.003,0.028,0.001,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-07-28,0.235,0.312,0.274,0.312,5.677,2.839,6.311,1.262,7.133,0.648,7.133,0.310,10.600,14.200,16.200,16.200,1,green,1,alert_area_a
2019-07-27,0.091,0.235,0.163,0.235,11.125,3.708,17.007,2.834,27.271,2.273,27.300,1.187,65.800,65.800,88.600,89.400,1,green,1,alert_area_a
2019-07-26,0.102,0.091,0.097,0.102,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,white,0,alert_area_a
2019-07-25,0.115,0.102,0.108,0.115,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,white,0,alert_area_a
2019-07-24,0.125,0.115,0.120,0.125,0.007,0.003,0.013,0.003,0.014,0.001,0.014,0.001,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-07-23,0.133,0.125,0.129,0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,white,0,alert_area_a
2019-07-22,0.139,0.133,0.136,0.139,0.017,0.006,0.023,0.005,0.033,0.003,0.033,0.001,0.200,0.400,0.400,0.400,0,white,0,alert_area_a
2019-07-21,0.141,0.139,0.140,0.141,0.033,0.011,0.039,0.007,0.044,0.004,0.070,0.003,0.400,0.400,0.800,1.000,0,white,0,alert_area_a
2019-07-20,0.145,0.141,0.143,0.145,0.014,0.005,0.025,0.005,0.031,0.003,0.039,0.002,0.200,0.200,0.200,0.400,0,white,0,alert_area_a
2019-07-19,0.146,0.145,0.145,0.146,0.734,0.245,0.750,0.125,0.757,0.063,0.773,0.034,14.000,14.000,14.200,14.200,0,white,0,alert_area_a
2019-07-18,0.140,0.146,0.143,0.146,2.268,0.756,3.259,0.543,3.259,0.272,3.312,0.144,29.600,29.600,29.600,29.600,0,white,0,alert_area_a
2019-07-17,0.145,0.140,0.143,0.145,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,white,0,alert_area_a
2019-07-16,0.148,0.145,0.147,0.148,0.007,0.002,0.007,0.001,0.007,0.001,0.007,0.000,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-07-15,0.040,0.148,0.094,0.148,7.071,2.357,10.414,1.736,10.809,0.983,19.197,0.835,45.800,52.400,53.200,63.000,0,white,0,alert_area_a
2019-07-14,0.042,0.040,0.041,0.042,1.077,0.359,1.326,0.221,1.334,0.111,1.334,0.058,3.600,6.200,6.200,6.200,0,white,0,alert_area_a
2019-07-13,0.044,0.042,0.043,0.044,0.017,0.006,0.017,0.003,0.017,0.002,0.023,0.001,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-07-12,0.046,0.044,0.045,0.046,0.008,0.003,0.008,0.002,0.008,0.001,0.008,0.000,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-07-11,0.046,0.046,0.046,0.046,0.176,0.059,0.176,0.029,0.176,0.015,0.202,0.009,2.200,3.800,3.800,4.000,0,white,0,alert_area_a
2019-07-10,0.046,0.046,0.046,0.046,0.410,0.137,0.410,0.068,0.429,0.036,0.643,0.028,10.000,10.000,10.000,10.000,1,green,1,alert_area_a
2019-07-09,0.045,0.046,0.045,0.046,1.742,0.581,1.742,0.290,1.742,0.158,2.833,0.123,12.400,12.400,12.400,14.200,0,white,0,alert_area_a
2019-07-08,0.047,0.045,0.046,0.047,0.006,0.002,0.006,0.001,0.006,0.001,0.006,0.000,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-07-07,0.047,0.047,0.047,0.047,0.476,0.159,0.534,0.089,0.541,0.049,0.675,0.029,1.800,1.800,1.800,2.000,0,white,0,alert_area_a
2019-07-06,0.049,0.047,0.048,0.049,0.006,0.003,0.006,0.001,0.006,0.001,0.007,0.000,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-07-05,0.051,0.049,0.050,0.051,0.009,0.003,0.015,0.003,0.015,0.001,0.015,0.001,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-07-04,0.052,0.051,0.052,0.052,1.106,0.369,1.120,0.187,1.120,0.093,1.120,0.049,15.600,15.600,15.600,15.600,0,white,0,alert_area_a
2019-07-03,0.055,0.052,0.054,0.055,0.011,0.004,0.011,0.002,0.011,0.001,0.011,0.000,0.400,0.400,0.400,0.400,0,white,0,alert_area_a
2019-07-02,0.057,0.055,0.056,0.057,0.007,0.003,0.014,0.003,0.014,0.001,0.014,0.001,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-07-01,0.063,0.057,0.060,0.063,1.326,0.442,1.340,0.223,1.340,0.112,1.340,0.058,9.400,9.400,9.400,9.400,0,white,0,alert_area_a
2019-06-30,0.071,0.063,0.067,0.071,0.008,0.003,0.014,0.003,0.019,0.002,0.019,0.001,0.200,0.200,0.200,0.200,0,white,0,alert_area_a
2019-06-29,0.079,0.071,0.075,0.079,0.055,0.018,0.055,0.009,0.055,0.005,0.055,0.002,1.600,1.600,1.600,1.600,0,white,0,alert_area_a
2019-06-28,0.091,0.079,0.085,0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,white,0,alert_area_a
2019-06-27,0.103,0.091,0.097,0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,white,0,alert_area_a
2019-06-26,0.115,0.103,0.109,0.115,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,white,0,alert_area_a
2019-06-25,0.125,0.115,0.120,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,white,0,alert_area_a
2019-06-24,0.132,0.125,0.129,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,white,0,alert_area_a
